#     'r'     'g11(r)'     'g12(r)'     'g22(r)'
    4.0449      1.891739     2.048207      2.035589
    4.0545      2.008546     2.132152      2.006477
    4.0641      2.008234     2.026664      2.033725
    4.0737      1.986223     2.094761      2.021397
    4.0833      2.051905     2.070054       1.97897
    4.0929      1.999171     2.029731      2.242891
    4.1025      1.992205     2.043109      2.041391
    4.1121      2.046577     2.047069      1.837009
    4.1217      1.946466     2.068924      2.023097
    4.1313      1.965037     2.094895      1.966785
    4.1409      2.002399     1.997094      1.981033
    4.1505      1.923038     2.028739      2.003098
    4.1601      1.977036     1.957957      1.979323
    4.1697      1.935429     2.024368      2.064983
    4.1793      1.978045        1.972      2.067956
    4.1889      1.939701     2.001312      2.075445
    4.1985      1.954494     2.018531      1.955627
    4.2081      1.986385       1.9802      1.991299
    4.2177      1.917966      2.00645      1.832389
    4.2273       1.97478     1.967363      1.936123
    4.2368       1.98016     1.989425      1.842594
    4.2464      1.926092     1.973014      1.931351
     4.256      1.881318     2.062789      1.922651
    4.2656      1.843048     1.920366      2.098243
    4.2752       1.85431      1.91846      1.850342
    4.2848      1.870741      1.92773       1.74485
    4.2944      1.772591     1.958227      1.839423
     4.304       1.85841     1.952274      1.936842
    4.3136      1.887285     1.929504      1.713644
    4.3232      1.802378     1.863149      1.871936
    4.3328      1.862845     1.869936      1.906923
    4.3424      1.808286     1.887679      1.696458
     4.352      1.828963     1.859498      1.695025
    4.3616      1.753832     1.851624       1.77478
    4.3712      1.748232     1.863791      1.744242
    4.3808      1.779562     1.816425      1.802782
    4.3904      1.824081     1.820914      1.759297
       4.4      1.738998     1.817544      1.639938
    4.4096      1.703096     1.822248      1.683998
    4.4192       1.71179     1.778584      1.653259
    4.4288      1.737134     1.797333      1.592437
    4.4384      1.652665     1.814601      1.715075
     4.448      1.666612      1.73244      1.696116
    4.4576      1.683298     1.741629      1.690549
    4.4672      1.682798      1.75058      1.666093
    4.4768      1.689838     1.731847      1.580748
    4.4864      1.716947     1.738466      1.625721
     4.496      1.714287      1.73486      1.679351
    4.5055      1.637227     1.731549      1.523978
    4.5151      1.654225     1.694696      1.741428
    4.5247      1.672459     1.695868      1.563606
    4.5343      1.725936     1.712542      1.574245
    4.5439      1.700676     1.689027       1.57259
    4.5535      1.702467     1.646861      1.605145
    4.5631      1.652118     1.714957      1.571477
    4.5727       1.67373     1.716218      1.617416
    4.5823      1.663464     1.685146      1.644976
    4.5919      1.706757     1.663646      1.646789
    4.6015      1.611723     1.737752      1.483769
    4.6111      1.651083     1.686691      1.540019
    4.6207      1.650116     1.656062      1.657412
    4.6303      1.635692      1.77351      1.555561
    4.6399      1.660366     1.679594       1.52575
    4.6495      1.622612     1.652099      1.682994
    4.6591      1.646978     1.668279      1.510043
    4.6687      1.625149      1.67712      1.506466
    4.6783      1.673543     1.631177      1.597001
    4.6879      1.683459     1.671457      1.635242
    4.6975      1.653426     1.669285      1.670046
    4.7071      1.606612     1.726808      1.561001
    4.7167      1.647826     1.702108      1.599912
    4.7263      1.611102     1.643013      1.635421
    4.7359      1.641626     1.705369      1.569116
    4.7455       1.63829     1.658355      1.554648
    4.7551      1.652394      1.65898      1.624786
    4.7647      1.644738     1.656824      1.644454
    4.7743       1.61596     1.660674      1.577114
    4.7838      1.695323     1.692504      1.631285
    4.7934       1.65151     1.688959      1.652644
