  -81666372983891.328       -44318959518681.125       -5546227649705.0049        645411925960.32739     
  -10.428383909872952        14.957846914081168       -27.365025313536830       -3.3988821690716415        28.104510270881356       -12.116649507459490        6.9878493359148912     
  -9.8002323317414515        14.066533690578899       -25.756122505184738       -3.1742449175423717        26.446525369875051       -11.412739010487808        6.5868400559579374     
  -9.2143106313694378        13.234508089172090       -24.252832347050166       -2.9659818247786909        24.897747240506376       -10.754485743845775        6.2115233724076857     
  -8.6674890084466671        12.457421992274774       -22.847509733918162       -2.7727896584509639        23.450243285770679       -10.138623923058729        5.8600840540103372     
  -8.1568908354498060        11.731275384170646       -21.533113752411175       -2.5934774611826783        22.096710084546537       -9.5621427922562390        5.5308468827573636     
  -7.6798704994169320        11.052386139313047       -20.303156071324469       -2.4269562769210178        20.830419270120199       -9.0222650686770347        5.2222649773870691     
  -7.2339932639253250        10.417362788003766       -19.151653821031431       -2.2722296365286252        19.645168526843946       -8.5164273602056415        4.9329091167457699     
  -6.8170171951150378        9.8230795056593063       -18.073087085249483       -2.1283851503401876        18.535237072614954       -8.0422622876487342        4.6614580771492333     
  -6.4268764709855981        9.2666537185829636       -17.062360057805158       -1.9945868986294435        17.495345133789701       -7.5975822772564872        4.4066897820755830     
  -6.0616665292480283        8.7454255518740531       -16.114765731224235       -1.8700685118404579        16.520617137258593       -7.1803647612082697        4.1674732405740533     
  -5.7196303825929329        8.2569391929741300       -15.225953786706105       -1.7541269456906936        15.606548190665332       -6.7887386966770817        3.9427612200032685     
  -5.3991462436527957        7.7989259410912339       -14.391901322070037       -1.6461168564837758        14.748973558953793       -6.4209722931428752        3.7315834654735078     
  -5.0987162505739168        7.3692887835493925       -13.608886152553563       -1.5454455130193439        13.944040854713402       -6.0754617224766418        3.5330406609717513     
  -4.8169562355424729        6.9660883090215684       -12.873462448181053       -1.4515681815873864        13.188184615995233       -5.7507209599787936        3.3462987217270310     
  -4.5525863603955701        6.5875298699743112       -12.182438520184585       -1.3639839263157136        12.478103205432118       -5.4453723438381498        3.1705837352915331     
  -4.3044225932849640        6.2319518974033556       -11.532856507142364       -1.2822318322325497        11.810737638177207       -5.1581380438925901        3.0051772214085100     
  -4.0713689637310315        5.8978151886428378       -10.921973832604122       -1.2058875851559827        11.183252241157801       -4.8878322282015390        2.8494118355304834     
  -3.8524104362409068        5.5836931795630989       -10.347246179201868       -1.1345602871985498        10.593017035898795       -4.6333538621147570        2.7026674471834542     
  -3.6466064810852692        5.2882629541194506       -9.8063120386740490       -1.0678896981381401        10.037591524113399       -4.3936801597889783        2.5643674896368767     
  -3.4530850846522023        5.0102971680447457       -9.2969783918751734       -1.0055435928176801        9.5147099104872410       -4.1678605557520356        2.4339756671166706     
  -3.2710374222625416        4.7486564856415114       -8.8172077391187269      -0.94721542076409260        9.0222675759560147       -3.9550111617715156        2.3109929018414324     
  -3.0997128226265427        4.5022827893868573       -8.3651061518992673      -0.89262221781814688        8.5583086026465853       -3.7543097273883057        2.1949545210785777     
  -2.9384142774140423        4.2701929183248524       -7.9389122498411426      -0.84150258389509869        8.1210144393269523       -3.5649909484719626        2.0854277068157212     
  -2.7864942986977215        4.0514728508560935       -7.5369872251078460      -0.79361497374164602        7.7086934050005445       -3.3863422185906891        1.9820091179947130     
  -2.6433510486989737        3.8452725129208196       -7.1578055368424947      -0.74873603682948642        7.3197711186065524       -3.2176996853086783        1.8843227198544399     
