   1.7824920379203350E+017  -37591612526780536.       -42982371403892544.        1496498237859726.2     
  -37591612526780456.        72899905437907664.       -1180354552040762.5       -12879091452855086.        1041639703933211.4     
  -42982371403892552.       -1180354552040741.0        21948844199663420.       -1057918143697321.6       -3858912667733229.5        311935599797205.75     
   2078.5804829679969       -11774.716618807684       -3664.8249158491362        22160.805624928886       -3519.0091595735148       -10856.180329535315        1840.1785018196349     
   1995.4532404474162       -11304.959054553077       -3519.0091595735653        21281.115280722013       -3379.6877597867574       -10427.344611132041        1767.6726250738052     
   1916.0473065984359       -10856.180329535247       -3379.6877597867801        20440.515081118963       -3246.5409266838310       -10017.472049403126        1698.3648662424835     
   1840.1785018196308       -10427.344611131975       -3246.5409266838515        19637.084530055865       -3119.2661067803620       -9625.6354910685041        1632.0992553312599     
   1767.6726250738520       -10017.472049403086       -3119.2661067803970        18869.006408515903       -2997.5769746863189       -9250.9574018818112        1568.7281501547927     
   1698.3648662424796       -9625.6354910685168       -2997.5769746863166        18134.560751596098       -2881.2024864814125       -8892.6069872108837        1508.1117506394130     
   1632.0992553313154       -9250.9574018818385       -2881.2024864814625        17432.119190556277       -2769.8859960701807       -8549.7974848120011        1450.1176496075345     
   1568.7281501547791       -8892.6069872108746       -2769.8859960702307        16760.139664516617       -2663.3844241989250       -8221.7836366800457        1394.6204064817894     
   1508.1117506394637       -8549.7974848119939       -2663.3844241989723        16117.161446902068       -2561.4674788740181       -7907.8593065441100        1341.5011488295438     
   1450.1176496075182       -8221.7836366800457       -2561.4674788739662        15501.800495297368       -2463.9169273436196       -7607.3552530093639        1290.6472003351896     
   1394.6204064818180       -7907.8593065441328       -2463.9169273435987        14912.745074150829       -2370.5259082636389       -7319.6370360050487        1241.9517304903823     
   1341.5011488294842       -7607.3552530093875       -2370.5259082635698        14348.751657281067       -2281.0982912052641       -7044.1030521282692        1195.3134247821934     
   1290.6472003351994       -7319.6370360050341       -2281.0982912052591        13808.641077963728       -2195.4480675879986       -6780.1826908198655        1150.6361731689367     
   1241.9517304903670       -7044.1030521282646       -2195.4480675880018        13291.294906959381       -2113.3987876909964       -6527.3345966407423        1107.8287834970859     
   1195.3134247821679       -6780.1826908198445       -2113.3987876910041        12795.652060263772       -2034.7830258550546       -6285.0450438885264        1066.8047056475436     
   1150.6361731689531       -6527.3345966407087       -2034.7830258550782        12320.705605438059       -1959.4418802288001       -6052.8264045116512        1027.4817774572148     
