   241294236696100.19       -406197617978216.50        253130513241361.78       -103223919785357.47     
   5215.8199827318876       -8349.2422099744854        10993.643681644862       -11942.408659901199        10584.717543920688       -7739.2591406797519        4653.9318389338314     
   5020.3225551630567       -8037.6384758485465        10584.717543926192       -11499.457293520180        10193.087053460424       -7453.4759466727237        4482.2640192244653     
   4833.1590947739278       -7739.2591408040398        10193.087053545365       -11075.187113054079        9817.9333890162288       -7179.6936358221919        4317.7986463180059     
   4653.9318392133055       -7453.4759469200771        9817.9333891896331       -10668.716239750700        9458.4805864797399       -6917.3480520814956        4160.1973735695683     
   4482.2640195613203       -7179.6936360968239        9458.4805865922135       -10279.208819693818        9113.9930830772464       -6665.9043619212862        4009.1394312558332     
   4317.7986467530591       -6917.3480523570242        9113.9930832334412       -9905.8723938297790        8783.7734146612293       -6424.8553867156606        3864.3206275890943     
   4160.1973741028860       -6665.9043623391526        8783.7734149168955       -9547.9554317485054        8467.1600561030791       -6193.7200377488261        3725.4524098439292     
   4009.1394318573543       -6424.8553871808381        8467.1600563257471       -9204.7450185208527        8163.5253946253515       -5972.0418462164434        3592.2609840636846     
   3864.3206282044871       -6193.7200381242765        8163.5253947603805       -8875.5646833823794        7872.2738263390702       -5759.3875842221032        3464.4864889303176     
   3725.4524104051834       -5972.0418465385428        7872.2738265184889       -8559.7723595052903        7592.8399692208832       -5555.3459697800254        3341.8822199397728     
   3592.2609844930744       -5759.3875845415023        7592.8399693900710       -8256.7584686630489        7324.6869846542513       -5359.5264497461967        3224.2138986930368     
   3464.4864892487917       -5555.3459699738196        7324.6869846931422       -7965.9441225094379        7067.3050002630735       -5171.5580550956465        3111.2589884330514     
   3341.8822201348567       -5359.5264497891530        7067.3050002566997       -7686.7794311379339        6820.2096262385994       -4991.0883268477337        3002.8060497485631     
   3224.2138988154020       -5171.5580551598587        6820.2096262984469       -7418.7419115895791        6582.9405616184113       -4817.7823045578607        2898.6541343412368     
   3111.2589886150436       -4991.0883270122558        6582.9405617156162       -7161.3349937364346        6355.0602828586907       -4651.3215749928022        2798.6122150146862     
   3002.8060500832039       -4817.7823048153186        6355.0602830098978       -6914.0866130211207        6136.1528097146911       -4491.4033772305002        2702.4986494140826     
   2898.6541348046594       -4651.3215753497043        6136.1528099138186       -6676.5478863223079        5925.8225437898691       -4337.7397602557230        2610.1406749892690     
   2798.6122155980065       -4491.4033776564966        5925.8225440018778       -6448.2918653893121        5723.6931751198781       -4190.0567895135864        2521.3739335126543     
   2702.4986500373529       -4337.7397606742852        5723.6931753239032       -6228.9123638278998        5529.4066527762507       -4048.0938000672595        2436.0420235365550     
   2610.1406755800349       -4190.0567899009320        5529.4066529539186       -6018.0228515500203        5342.6222145424263       -3911.6026926786499        2353.9960787367727     
   2521.3739339946428       -4048.0938003638262        5342.6222146765676       -5815.2554130172257        5163.0154729965025       -3780.3472707792703        2275.0943702024560     
   2436.0420238282290       -3911.6026928346046        5163.0154730300746       -5620.2597660695501        4990.2775541799929       -3654.1026149622021        2199.2019313059286     
   2353.9960787999248       -3780.3472707310043        4990.2775541006868       -5432.7023367812935        4824.1142851428831       -3532.6544932313745        2126.1902045355187     
   2275.0943700871076       -3654.1026147864218        4824.1142850126043       -5252.2653865262400        4664.2454274511310       -3415.7988049074042        2055.9367082086678     
   2199.2019311540344       -3532.6544930867249        4664.2454274043830       -5078.6461885054423        4510.4039544687566       -3303.3410561565952        1988.3247223497190     
   2126.1902044001399       -3415.7988048557481        4510.4039544682219       -4911.5562512285387        4362.3353694841599       -3195.0958649112304        1923.2429911972604     
   2055.9367080975767       -3303.3410560981242        4362.3353694306097       -4750.7205859672022        4219.7970620463766       -3090.8864929350816        1860.5854432977533     
   1988.3247221996169       -3195.0958647580019        4219.7970619399748       -4595.8770146575553        4082.5576996691475       -2990.5444047736501        1800.2509267083024     
   1923.2429909849898       -3090.8864927547875        4082.5576995852139       -4446.7755158800255        3950.3966539000962       -2893.9088506139933        1742.1429597693850     
   1860.5854430548625       -2990.5444046171374        3950.3966538308355       -4303.1776079287220        3823.1034577934970       -2800.8264728432177        1686.1694939356496     
   1800.2509265004287       -2893.9088504816245        3823.1034577216610       -4164.8557653269436        3700.4772936114637       -2711.1509328883194        1632.2426912325602     
   1742.1429596033176       -2800.8264727218971        3700.4772935552278       -4031.5928679592748        3582.3265079133812       -2624.7425600852966        1580.2787132645317     
   1686.1694937982447       -2711.1509328217921        3582.3265079089101       -3903.1816793387616        3468.4681539372104       -2541.4680187888221        1530.1975217608403     
   1632.2426911345572       -2624.7425600543052        3468.4681539191392       -3779.4243543171542        3358.7275582427387       -2461.1999935343038        1481.9226893987561     
   1580.2787132014796       -2541.4680187462050        3358.7275582242214       -3660.1319730345413        3252.9379111500361       -2383.8168911708008        1435.3812220702468     
   1530.1975217063698       -2461.1999935099775        3252.9379111483204       -3545.1240998730905        3150.9398785994044       -2309.2025596609037        1390.5033893169125     
