#     'r'     'g11(r)'     'g12(r)'     'g22(r)'
    5.1005     0.8198082     1.450397     0.6419845
    5.1101      1.061485     1.285483     0.6406433
    5.1197      1.565756     1.140345     0.6813253
    5.1293      1.846203    0.6729892     0.7073919
    5.1389      2.204647    0.3996828     0.7137268
    5.1485      2.170185    0.3409349     0.6700454
    5.1581      2.158718    0.2033828     0.5994367
    5.1677      2.173768    0.1940444     0.5491849
    5.1773      2.147285    0.1585996     0.5185451
    5.1869      2.367339      0.23702     0.4731007
    5.1965      2.593226    0.3688807     0.4661923
    5.2061      2.337207    0.5975436     0.4408142
    5.2157      1.994165    0.9225768     0.4320189
    5.2253       1.75735     1.181109     0.4723025
    5.2349      1.705207     1.259924     0.4726073
    5.2445      1.323658      1.26403     0.4592214
    5.2541      1.057431     1.259291     0.4994618
    5.2637     0.9188362    0.9652529      0.522298
    5.2733     0.7858718     0.795249     0.5549917
    5.2829     0.6665824    0.4975444     0.5649659
    5.2925     0.5892668    0.3598405     0.5977591
    5.3021     0.5777296    0.1850763     0.6580829
    5.3117     0.5755206    0.1354132     0.7219202
    5.3213     0.5889286    0.1419168     0.7611682
    5.3308     0.6076234    0.1722053     0.9021689
    5.3404     0.6148349    0.1782848      1.199062
      5.35     0.6898179    0.1936631      1.832328
    5.3596     0.8045929    0.2027638      2.386317
    5.3692      1.038627    0.1985458      3.079962
    5.3788      1.275316    0.1907552      3.996085
    5.3884      1.588681    0.2032345      4.506665
     5.398      1.850977    0.1994135      5.381993
    5.4076      1.819309    0.2111775      5.209396
    5.4172      1.707115    0.2234487      3.708775
    5.4268      1.393685    0.2186493      2.844061
    5.4364       1.07292    0.2183482      2.059011
     5.446     0.8860252    0.2223806      1.690764
    5.4556     0.6732005     0.208296     0.9775428
    5.4652     0.6777111    0.1896576     0.5148282
    5.4748     0.7060978    0.1867916     0.3074429
    5.4844     0.8682292    0.1856766     0.2498219
     5.494       1.03591    0.1838779     0.1999913
    5.5036      1.347723    0.1788799      0.167076
    5.5132      1.568419    0.1784862     0.1453963
    5.5228      1.914192    0.1705787     0.1389496
    5.5324      2.044761    0.1619306     0.1343686
     5.542      2.105767    0.1572993     0.1443436
    5.5516      2.204045    0.1504452     0.1727949
    5.5612      2.684131     0.155317     0.1996968
    5.5708      2.786779    0.1636238     0.2165294
    5.5804      2.384929    0.1955177     0.2292159
      5.59      1.966667    0.2097412     0.2926754
    5.5995      1.385146    0.3137005     0.3147935
    5.6091     0.9856284    0.5017282     0.3203639
    5.6187     0.6569369    0.6978219     0.3515066
    5.6283     0.4058231     1.118434     0.3542698
    5.6379     0.3208178     1.470839     0.3504332
    5.6475     0.2838394     1.779682     0.3557998
    5.6571     0.3014675     1.876641       0.35198
    5.6667     0.3183247      1.91615     0.3381987
    5.6763     0.3281554     1.753268     0.3496038
    5.6859     0.3382408     1.419692     0.3264325
    5.6955     0.3411776    0.9862091     0.3214655
    5.7051     0.3198278    0.6161362     0.3173867
    5.7147     0.3002173    0.3462777      0.289001
    5.7243     0.2769141    0.2379574     0.3684438
    5.7339     0.2635007    0.2095895     0.7047409
    5.7435     0.2452184    0.2553213       0.92891
    5.7531     0.2432447    0.2978089      1.496971
    5.7627     0.2630747    0.3923058      2.380298
    5.7723     0.2573973    0.6979879       2.36444
    5.7819     0.2813133    0.9487581       2.22315
    5.7915     0.2893026     1.100631      1.667557
    5.8011     0.2897936     1.151692      1.287131
    5.8107     0.3034697     1.057883     0.8076344
    5.8203     0.3147945    0.9089099     0.5489951
    5.8299     0.3247125     0.838372     0.4868918
    5.8395     0.3443586     1.071719     0.3843094
    5.8491     0.3701794     1.271146     0.3512644
    5.8587     0.3978567     1.710697     0.3151844
    5.8683     0.4598035     1.966935     0.3202269
